Unnamed: 0,Video link,Notes,Muscles used,Compound or isolation ,Unnamed: 5,Compound or isolation
1/2 RT > Stand > Forward > Step,,,General / Functional Muscles,,,Compound
2 Minute Step Test,,Count how many times the knees are raised to hip height in 2 mins,General / Functional Muscles,,,Compound
21's,https://youtu.be/4vDTgWubAms,,General / Functional Muscles,,,Compound
90/90 Rotations,https://youtu.be/juOtDljPfws,,General / Functional Muscles,,,Compound
A Skips,https://youtu.be/Fh5e_ipQCWs,,General / Functional Muscles,,,Compound
Ab Crunch Cable Machine,,,Abdominals,,,Isolation
Ab Rollout,,,General / Functional Muscles,,,Compound
Abdominal Curl Test,,"This test requires the athlete to perform as many sit-ups as possible in 30 seconds.
The athlete warms up for 10 minutes
The athlete lies on the mat with the knees bent, feet flat on the floor and their hands on their ears where they must stay throughout the test
The assistant holds the athlete's feet on the ground
The assistant gives the command “GO” and starts the stopwatch
The athlete sits up touching the knees with their elbows, then returns to the floor and continues to perform as many sit-ups as possible in 30 seconds
The assistant keeps the athlete informed of the time remaining
The assistant counts and records the number of correct sit-ups completed in the 30 seconds and uses this recorded value to assess the athlete's performance",Biceps,,,Isolation
Abductor Kickouts,,,General / Functional Muscles,,,Compound
Adductor Slide,,,General / Functional Muscles,,,Compound
Adductor Squeeze,,,General / Functional Muscles,,,Compound
Agility Ladder,,Use ladder to step in and out of for different patterns,General / Functional Muscles,,,Compound
Air Squats,,,General / Functional Muscles,,,Compound
Airoplane,https://youtu.be/Fjbqxbfx99w,,General / Functional Muscles,,,Compound
Alternate Front Raise,https://youtu.be/c4EhnuYZQI8,,Deltoids,,,Isolation
Alternate Side Leg Swings,,,General / Functional Muscles,,,Compound
Ankle Pulses,,,General / Functional Muscles,,,Compound
Ankle Pumps,https://youtu.be/KxfFzSOAT7g,,General / Functional Muscles,,,Compound
Ankle Rocks,https://youtu.be/WBD8DJ2du8I,,General / Functional Muscles,,,Compound
Anterior TiB Raise,https://youtu.be/pn7DLqo-IKs,,General / Functional Muscles,,,Compound
Arm Circles,,,General / Functional Muscles,,,Compound
Arm Circles & Shoulder Mobility,,,General / Functional Muscles,,,Compound
Arm Curl Test,,How many bicep curls can be preformed in 30 seconds with a light weight,Biceps,,,Isolation
Arm Swings,,Swing Arms horizontally from side to side while keeping the torso facing forwards.,General / Functional Muscles,,,Compound
Arnold Press,https://youtu.be/g4GUrEFoBxY,,"Shoulders, Triceps",,,Compound
Around the World,https://youtu.be/qNaVhXUOYJs,,General / Functional Muscles,,,Compound
Assult Bike,,,General / Functional Muscles,,,Compound
Astrand Treadmill Test (VO2 Max),,"This test requires the athlete to run as long as possible on a  treadmill whose slope increments at timed intervals
The athlete warms up for 10 minutes
The assistant sets up the treadmill with a speed of 8.05km/hr (5 mph) and an incline of 0%
The assistant gives the command “GO”, starts the stopwatch, and the athlete commences the test 
The assistant, after 3 minutes into the test, adjusts the treadmill incline to 2.5% and then every 2 minutes after that, increases the incline by 2.5%
The assistant stops the stopwatch and records the time when the athlete is unable to continue",General / Functional Muscles,,,Compound
B Skips,https://youtu.be/Fh5e_ipQCWs,,General / Functional Muscles,,,Compound
Back Extensions,https://youtu.be/KlulQ7kRb3A,,General / Functional Muscles,,,Compound
